timestamp,time,price,volume,patterns_detected,pattern_confidence,entry_signal,rejection_reasons,rejection_count,has_position
2026-01-12 14:00:00-05:00,14:00:00,1.37,193049,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:01:00-05:00,14:01:00,1.38,264148,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:02:00-05:00,14:02:00,1.37,133500,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:03:00-05:00,14:03:00,1.378,92357,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:04:00-05:00,14:04:00,1.395,296805,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:05:00-05:00,14:05:00,1.397,120084,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:06:00-05:00,14:06:00,1.39,177892,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:07:00-05:00,14:07:00,1.4,255161,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:08:00-05:00,14:08:00,1.395,154089,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:09:00-05:00,14:09:00,1.391,129650,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:10:00-05:00,14:10:00,1.381,89326,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:11:00-05:00,14:11:00,1.372,300783,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:12:00-05:00,14:12:00,1.371,73728,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:13:00-05:00,14:13:00,1.389,100705,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:14:00-05:00,14:14:00,1.39,77173,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:15:00-05:00,14:15:00,1.375,197695,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:16:00-05:00,14:16:00,1.37,454092,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:17:00-05:00,14:17:00,1.371,192016,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:18:00-05:00,14:18:00,1.332,853733,Pattern detected but rejected,,False,Confidence 65.0% < 72% required,1,False
2026-01-12 14:19:00-05:00,14:19:00,1.368,410572,None,,False,Price $1.3680 not above all MAs,1,False
2026-01-12 14:20:00-05:00,14:20:00,1.37,144455,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:21:00-05:00,14:21:00,1.52,2527887,None,,False,MAs not in bullish order; MAs not in bullish order,2,False
2026-01-12 14:27:00-05:00,14:27:00,1.59,4180994,None,,False,Making lower lows (downtrend); Making lower lows (downtrend),2,False
2026-01-12 14:28:00-05:00,14:28:00,1.572,1187154,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:29:00-05:00,14:29:00,1.55,1071149,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:30:00-05:00,14:30:00,1.56,712867,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:31:00-05:00,14:31:00,1.5,1109155,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:32:00-05:00,14:32:00,1.51,469418,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:33:00-05:00,14:33:00,1.525,664537,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:34:00-05:00,14:34:00,1.509,798331,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:35:00-05:00,14:35:00,1.498,463868,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:36:00-05:00,14:36:00,1.652,3841952,None,,False,MAs not in bullish order; MAs not in bullish order,2,False
2026-01-12 14:37:00-05:00,14:37:00,1.62,1671786,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:38:00-05:00,14:38:00,1.623,672411,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:39:00-05:00,14:39:00,1.76,3183790,None,,False,Too volatile (14.2% range in 5 periods); Too volatile (14.2% range in 5 periods),2,False
2026-01-12 14:40:00-05:00,14:40:00,1.76,70670,None,,False,No pattern detected or pattern validation failed,0,False
2026-01-12 14:45:00-05:00,14:45:00,1.95,6055068,None,,False,Too volatile (18.9% range in 5 periods); Too volatile (18.9% range in 5 periods),2,False
